name,region,lat,lon,contentid,tags,keywords
가계해수욕장,전라남도,34.4354594945,126.3547412438,126273,"관광,자연","바다,해변,물놀이,여름,해수욕,모래,자연,여행,관광"
가고파 꼬부랑길 벽화마을,경상남도,35.2077664004,128.5696552845,2019720,"관광,문화","벽화,마을,예술,문화,체험,자연,여행,관광"
가곡유황온천&스파,강원특별자치도,37.1507494904,129.2062296318,2994116,"관광,문화","온천,힐링,휴양,치유,온수,설악산,스키,관광,문화"
가금철교 문화공원,경기도,37.7533531645,127.0455151412,3482667,"관광,문화","공원,자연,산책,휴식,녹지,운동,다리,건축,경관,도시,교통,문화,관광"
가나아트파크,경기도,37.7254519094,126.9497496852,129194,"관광,문화","자연,공원,문화,관광"
가남체육공원,경기도,37.2017093544,127.5349142281,2777865,"관광,문화","공원,자연,산책,휴식,녹지,운동,문화,관광"
가덕도,부산광역시,35.0399121452,128.8284150154,2715601,"관광,자연","바다,해변,항구,관광,자연"
가덕도 등대,부산광역시,35.0006471157,128.8295937487,129156,"관광,자연","등대,바다,해안,항해,역사,해변,항구,관광,자연"
가덕도외양포전망대,부산광역시,35.0017831264,128.8310519246,3015365,"관광,문화","전망대,경치,조망,풍경,경관,바다,해변,항구,관광,문화"
가덕산,경기도,37.9202321907,127.5683098007,125462,"관광,자연","등산,하이킹,자연,운동,경치,공원,문화,관광"
가람리조트,강원특별자치도,37.8364309102,128.0184630062,2761729,"관광,문화","설악산,스키,관광,문화"
가력도항,전북특별자치도,35.7269248004,126.5314023248,2743285,"관광,자연","자연,전통,관광"
가령폭포,강원특별자치도,37.8326534604,128.159522544,125658,"관광,자연","폭포,자연,경관,시원함,설악산,스키,관광"
가루매마을,경기도,37.4519513148,127.6145192906,1553085,"관광,문화","마을,자연,공원,문화,관광"
가리산(홍천),강원특별자치도,37.8543978969,127.9988086966,125593,"관광,자연","등산,하이킹,자연,운동,경치,설악산,스키,관광"
가리왕산,강원특별자치도,37.461826298,128.5634777835,127508,"관광,자연","등산,하이킹,자연,운동,경치,설악산,스키,관광"
가림상회,충청남도,36.1899003585,126.8928691464,2820640,"관광,문화","자연,여행,관광,문화"
가마골계곡,전라남도,35.445187367,127.0227046757,127423,"관광,자연","계곡,자연,여름,피서,청량,여행,관광"
가마미해수욕장,전라남도,35.399729392,126.4090769892,126289,"관광,자연","바다,해변,물놀이,여름,해수욕,모래,자연,여행,관광"
가마오름,제주특별자치도,33.3057279944,126.2466098987,1884191,"관광,자연","화산,돌담,오름,관광,자연"
가뫼골마을,경상남도,35.258656593,128.0324121006,128498,"관광,문화","마을,자연,여행,관광,문화"
